Label,5s-res_61-260K
T [K],260
t_exc [s],55
t_cyc [s],170
\Delta t [s],\alpha
0,0
4.9,0.106
14.4,0.148
24,0.177
33.6,0.193
46.7,0.21
59.8,0.219
69.4,0.196
78.9,0.185
88.5,0.161
98.1,0.149
107.6,0.14
117.2,0.139
126.8,0.12
136.3,0.115
145.9,0.105
155.5,0.099
165,0.091
,
Label,5s-res_59_265K
T [K],265
t_exc [s],55
t_cyc [s],170
\Delta t [s],\alpha
0,0
4.9,0.109
14.4,0.212
24,0.275
33.6,0.322
46.7,0.337
59.8,0.326
69.4,0.256
79,0.208
88.5,0.166
98.1,0.134
107.7,0.105
117.7,0.096
126.8,0.079
136.7,0.068
146,0.057
155.5,0.053
165.1,0.051
,
Label,5s-res_60_270K
T [K],270
t_exc [s],55
t_cyc [s],170
\Delta t [s],\alpha
0,0
4.9,0.07
14.4,0.13
24,0.143
33.6,0.16
46.7,0.165
59.8,0.149
69.4,0.106
79,0.082
88.5,0.063
98.1,0.046
107.7,0.056
117.2,0.046
126.8,0.038
136.4,0.043
145.9,0.037
155.5,0.036
165.1,0.033
,
Label,3s-res_65_265K
T [K],265
t_exc [s],35
t_cyc [s],108
\Delta t [s],\alpha
0,0
2.9,0.086
8.5,0.143
14.1,0.168
19.7,0.184
25.3,0.214
31.6,0.213
37.8,0.216
43.4,0.191
49,0.176
56,0.161
60.2,0.143
65.8,0.135
71.4,0.116
77,0.107
82.6,0.103
88.2,0.09
93.8,0.084
99.4,0.084
105,0.073
,
Label,3s-res_71_270K
T [K],270
t_exc [s],35
t_cyc [s],108
\Delta t [s],\alpha
0,0
2.9,0.054
8.5,0.108
14,0.141
19.6,0.169
25.1,0.178
31.5,0.188
37.8,0.177
43.3,0.149
48.9,0.112
54.4,0.092
60,0.082
65.5,0.064
71.1,0.057
76.6,0.051
82.2,0.038
87.7,0.035
93.3,0.036
98.8,0.032
104.4,0.032
,
Label,3s-res_74_272K
T [K],272
t_exc [s],35
t_cyc [s],108
\Delta t [s],\alpha
0,0
2.9,0.1
8.5,0.134
14.1,0.167
19.7,0.194
25.2,0.204
31.5,0.213
37.8,0.202
43.4,0.151
49,0.118
54.6,0.09
60.2,0.075
65.8,0.057
71.4,0.057
77,0.044
82.6,0.044
88.2,0.043
93.8,0.047
99.4,0.044
105,0.042
,
Label,3s-res_76_274K
T [K],274
t_exc [s],35
t_cyc [s],108
\Delta t [s],\alpha
0,0
2.9,0.085
8.5,0.142
14.1,0.182
19.7,0.193
25.3,0.207
31.6,0.207
37.8,0.186
43.4,0.127
49,0.107
54.6,0.077
60.2,0.056
65.8,0.057
71.4,0.045
77,0.042
82.6,0.042
88.2,0.048
93.8,0.04
99.4,0.037
105,0.038
,
Label,1-4s-res_40_280K
T [K],280
t_exc [s],14
t_cyc [s],35
\Delta t [s],\alpha
0,0
1.4,0.052
4,0.088
6.5,0.092
9,0.105
12.2,0.107
15.3,0.089
17.8,0.061
20.4,0.045
22.9,0.039
25.5,0.039
28.1,0.035
30.7,0.032
33.3,0.025
,
Label,1s-res_41_280K
T [K],280
t_exc [s],8
t_cyc [s],22
\Delta t [s],\alpha
0,0
1,0.052
2.8,0.073
4.6,0.107
6.8,0.118
8.9,0.108
10.8,0.085
12.6,0.063
14.4,0.054
16.3,0.048
18.1,0.046
19.9,0.044
,
Label,O-8s-res_48_282K
T [K],282
t_exc [s],5
t_cyc [s],14
\Delta t [s],\alpha
0,0
0.8,0.04
2.2,0.063
4,0.074
5.7,0.087
7.1,0.063
8.5,0.05
9.9,0.041
11.4,0.038
12.8,0.036
,
Label,O-82-res_55_283K
T [K],283
t_exc [s],5
t_cyc [s],14
\Delta t [s],\alpha
0,0
0.8,0.044
2.2,0.083
4,0.103
5.7,0.104
7.1,0.083
8.5,0.06
9.9,0.059
11.4,0.045
12.8,0.034
,
Label,O-8s-res_284K
T [K],284
t_exc [s],5
t_cyc [s],14
\Delta t [s],\alpha
0,0
0.8,0.037
2.2,0.067
4,0.075
5.7,0.08
7.2,0.058
8.6,0.049
10,0.038
11.4,0.04
12.9,0.046
